City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Teguise,ES,29.0605,-13.564,64.62,52,0,6.91,clear sky
174,Xichang,CN,27.8964,102.2634,39.36,84,8,1.86,clear sky
175,Hasaki,JP,35.7333,140.8333,30.6,31,73,26.42,broken clouds
176,Solwezi,ZM,-12.1688,26.3894,60.13,98,100,3.85,overcast clouds
177,Akyab,MM,20.15,92.9,65.55,75,0,5.28,clear sky
178,Plouzane,FR,48.3833,-4.6167,44.65,84,75,5.75,broken clouds
179,Laguna,US,38.421,-121.4238,67.23,50,0,1.99,clear sky
180,Meulaboh,ID,4.1363,96.1285,75.83,87,100,4.43,overcast clouds
181,Arrifes,PT,37.7667,-25.7,58.23,72,20,9.22,few clouds
182,Poopo,BO,-18.3667,-66.9667,57.97,64,78,4.36,broken clouds
183,Mareeba,AU,-17.0,145.4333,72.45,95,100,1.83,overcast clouds
184,Pevek,RU,69.7008,170.3133,-22.72,100,85,6.17,overcast clouds
185,Buta,CD,2.7858,24.73,76.05,46,96,2.42,overcast clouds
186,Qasigiannguit,GL,68.8193,-51.1922,16.05,83,100,14.92,light snow
187,Deputatskiy,RU,69.3,139.9,-29.88,100,78,2.62,broken clouds
188,Puerto Ayora,EC,-0.7393,-90.3518,84.16,88,84,5.01,broken clouds
189,Seymchan,RU,62.8833,152.4333,-38.18,99,46,1.63,scattered clouds
190,Brejo,BR,-3.6844,-42.7503,76.53,90,97,7.47,light rain
191,Souillac,MU,-20.5167,57.5167,79.36,94,75,16.11,light rain
192,Talnakh,RU,69.4865,88.3972,1.2,96,100,6.76,overcast clouds
193,Puerto Baquerizo Moreno,EC,-0.9,-89.6,83.39,70,20,17.27,few clouds
194,Lewisporte,CA,49.2499,-55.0482,20.91,94,100,10.83,snow
195,Severo-Kurilsk,RU,50.6789,156.125,28.26,94,100,5.64,light snow
196,Ust-Tsilma,RU,65.441,52.1498,-12.8,100,100,2.39,overcast clouds
197,Batsfjord,NO,70.6345,29.7185,19.4,85,75,28.77,broken clouds
198,Cozumel,MX,20.5083,-86.9458,84.94,72,20,4.0,few clouds
199,Gornopravdinsk,RU,60.05,69.9,19.6,98,100,1.83,overcast clouds
200,Aleksandrov Gay,RU,50.147,48.5704,31.69,99,100,2.68,overcast clouds
201,Gillette,US,44.2911,-105.5022,42.03,33,0,14.97,clear sky
202,Khanpur,PK,28.6453,70.6567,59.13,30,0,6.96,clear sky
203,Saldanha,ZA,-33.0117,17.9442,62.65,75,0,16.26,clear sky
204,Teguldet,RU,57.3064,88.1667,20.23,90,100,12.44,light snow
205,Mar Del Plata,AR,-38.0023,-57.5575,74.08,88,75,1.99,light rain
206,Dikson,RU,73.5069,80.5464,-4.67,94,100,6.42,overcast clouds
207,Kieta,PG,-6.2167,155.6333,82.44,81,100,11.92,overcast clouds
208,Horki,BY,54.2861,30.9842,-1.89,100,97,4.7,overcast clouds
209,Aklavik,CA,68.2191,-135.0107,-21.17,75,20,10.36,few clouds
210,Bangad,PH,15.5036,121.0275,70.72,91,62,2.55,broken clouds
211,Tacuati,PY,-23.45,-56.5833,87.3,57,57,5.64,broken clouds
212,Bida,NG,9.0833,6.0167,81.34,16,0,4.0,clear sky
213,Chernyshevskiy,RU,63.0128,112.4714,-18.94,100,96,1.21,overcast clouds
214,Rafraf,TN,37.1904,10.1837,61.11,66,5,14.79,clear sky
215,Pajapan,MX,18.25,-94.7,66.36,77,83,17.76,broken clouds
216,Sangar,RU,63.9242,127.4739,-33.3,100,100,2.06,overcast clouds
217,Wexford,IE,52.3342,-6.4575,40.57,79,5,12.55,clear sky
218,West Odessa,US,31.8424,-102.4988,37.83,38,0,6.91,clear sky
219,Suntar,RU,62.1444,117.6319,-11.72,99,99,1.3,overcast clouds
220,Tandil,AR,-37.3217,-59.1332,66.7,87,100,3.13,light rain
221,Rio Grande,BR,-32.035,-52.0986,80.71,79,41,4.83,scattered clouds
222,Nhulunbuy,AU,-12.2333,136.7667,81.21,83,100,5.75,overcast clouds
223,Dudinka,RU,69.4058,86.1778,1.62,97,100,5.73,overcast clouds
224,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,77,20,1.01,few clouds
225,Ribeira Grande,PT,38.5167,-28.7,59.4,77,40,13.8,scattered clouds
226,Buchanan,LR,5.8808,-10.0467,80.56,80,43,7.25,scattered clouds
227,Klaksvik,FO,62.2266,-6.589,36.52,55,92,36.86,overcast clouds
228,Petropavl,KZ,54.8753,69.1628,17.22,82,100,8.19,overcast clouds
229,Khatanga,RU,71.9667,102.5,-36.27,100,68,3.18,broken clouds
230,Tromso,NO,69.6496,18.957,19.42,63,75,26.46,broken clouds
231,Peace River,CA,56.2501,-117.286,3.51,78,100,10.36,snow
232,Sorland,NO,67.667,12.6934,31.86,77,56,29.37,broken clouds
233,Yanji,CN,42.9075,129.5078,5.02,71,49,12.71,scattered clouds
234,Kawasaki,JP,35.5206,139.7172,39.02,58,20,4.61,few clouds
235,Bethel,US,41.3712,-73.414,36.18,89,100,5.75,moderate rain
236,Kilcormac,IE,53.1742,-7.7256,38.07,83,7,7.78,clear sky
237,Candelaria,PH,13.9311,121.4233,73.6,88,99,8.5,overcast clouds
238,Chicama,PE,-7.8447,-79.1469,70.34,60,93,11.68,overcast clouds
239,Bershet,RU,57.7309,56.3783,24.06,98,100,5.12,overcast clouds
240,Agadir,MA,30.4202,-9.5982,66.65,52,99,1.25,overcast clouds
241,Matara,LK,5.9485,80.5353,73.76,89,48,5.41,scattered clouds
242,Luanda,AO,-8.8368,13.2343,77.47,79,100,10.42,overcast clouds
243,Mosquera,CO,4.7059,-74.2302,64.49,63,75,9.22,haze
244,Saint-Georges,GD,12.0564,-61.7485,82.08,69,75,13.8,broken clouds
245,Taoudenni,ML,22.6783,-3.9836,70.12,10,77,9.89,broken clouds
246,Harper,LR,4.375,-7.7169,80.01,80,29,7.31,scattered clouds
247,Port-Gentil,GA,-0.7193,8.7815,80.08,77,66,6.55,broken clouds
248,Mahebourg,MU,-20.4081,57.7,79.25,94,75,16.11,broken clouds
249,Shush,IR,32.1942,48.2436,57.47,53,0,6.71,clear sky
250,Port Lincoln,AU,-34.7333,135.8667,64.99,83,83,12.84,broken clouds
251,Muros,ES,42.7762,-9.0603,53.98,85,82,7.99,broken clouds
252,Lewistown,US,40.5992,-77.5714,32.9,96,75,0.0,light intensity drizzle
253,Geraldton,AU,-28.7667,114.6,70.21,43,0,5.75,clear sky
254,Whitehorse,CA,60.7161,-135.0538,-3.98,76,100,2.3,light snow
255,Safonovo,RU,55.15,33.2167,-3.96,100,100,1.77,overcast clouds
256,Qurayyat,SA,31.3318,37.3428,48.38,61,40,6.91,scattered clouds
257,Bengkulu,ID,-3.8004,102.2655,73.11,95,100,5.57,overcast clouds
258,San Policarpo,PH,12.1791,125.5072,77.11,84,100,10.4,overcast clouds
259,Marsa Matruh,EG,31.3525,27.2453,55.6,58,40,13.8,scattered clouds
260,Songkhla,TH,6.8333,100.6667,75.25,94,93,4.99,overcast clouds
261,Upernavik,GL,72.7868,-56.1549,-3.15,100,90,11.68,overcast clouds
262,Maldonado,UY,-34.6667,-54.9167,76.39,74,38,9.08,scattered clouds
263,Havre-Saint-Pierre,CA,50.2334,-63.5986,3.79,65,0,5.75,clear sky
264,Sao Filipe,CV,14.8961,-24.4956,73.6,73,0,9.4,clear sky
265,Langenburg,DE,49.2544,9.8458,44.85,81,100,13.8,overcast clouds
266,Yerbogachen,RU,61.2767,108.0108,-22.72,100,97,2.8,overcast clouds
267,Fez,MA,34.0372,-4.9998,52.05,53,0,8.05,clear sky
268,Manoel Urbano,BR,-8.8389,-69.2597,78.3,92,99,4.25,overcast clouds
269,Lagoa,PT,39.05,-27.9833,58.06,81,78,17.0,broken clouds
270,Wenling,CN,28.3669,121.36,37.9,79,1,8.12,clear sky
271,Beloha,MG,-25.1667,45.05,75.25,84,49,18.52,scattered clouds
272,Dali,CN,25.7,100.1833,40.8,79,0,2.86,clear sky
273,Balykshi,KZ,47.0667,51.8667,33.8,86,75,2.24,mist
274,Okhotsk,RU,59.3833,143.3,-0.38,72,98,15.52,overcast clouds
275,Worland,US,44.0169,-107.9554,38.55,50,0,3.44,clear sky
276,Dongying,CN,37.4564,118.4856,21.47,33,0,8.03,clear sky
277,Okhtyrka,UA,50.3104,34.8988,19.98,95,100,5.86,overcast clouds
278,Kruisfontein,ZA,-34.0033,24.7314,64.89,69,100,6.44,overcast clouds
279,Dunedin,NZ,-45.8742,170.5036,52.81,73,100,4.0,overcast clouds
280,Chenzhou,CN,25.8,113.0333,40.39,95,87,1.59,overcast clouds
281,Derzhavinsk,KZ,51.1,66.3167,17.04,73,100,10.11,overcast clouds
282,Mogadishu,SO,2.0371,45.3438,76.78,86,15,18.95,few clouds
283,Santo Domingo,DO,18.5001,-69.9886,82.08,73,40,11.5,scattered clouds
284,Balkanabat,TM,39.5108,54.3671,55.4,48,72,4.88,broken clouds
285,Eidfjord,NO,60.4675,7.0719,33.49,96,99,11.65,snow
286,Korla,CN,41.7597,86.1469,25.95,46,100,4.47,overcast clouds
287,Eskil,TR,38.4017,33.4131,21.79,85,61,9.06,broken clouds
288,Traverse City,US,44.7631,-85.6206,19.94,66,100,3.44,overcast clouds
289,Caravelas,BR,-17.7125,-39.2481,77.02,86,100,7.05,light rain
290,Iqaluit,CA,63.7506,-68.5145,-15.07,48,100,9.22,overcast clouds
291,Rokytne,UA,51.2796,27.214,26.4,96,100,7.94,light snow
292,Lubao,PH,14.9167,120.55,78.15,83,21,6.6,few clouds
293,Shimoda,JP,34.6667,138.95,36.1,64,9,27.51,clear sky
294,Urumqi,CN,43.801,87.6005,-3.05,85,75,2.24,fog
295,Hilo,US,19.7297,-155.09,78.62,75,100,4.61,overcast clouds
296,Murdochville,CA,48.9583,-65.5006,2.28,91,100,8.05,overcast clouds
297,Isangel,VU,-19.55,169.2667,78.91,89,100,2.3,moderate rain
298,Adiake,CI,5.2863,-3.304,83.79,82,51,6.17,broken clouds
299,Port Macquarie,AU,-31.4333,152.9167,60.76,75,91,16.49,overcast clouds
300,Muzhi,RU,65.3667,64.6667,6.66,86,87,9.24,overcast clouds
301,Jumla,NP,29.2747,82.1838,21.65,92,99,5.59,overcast clouds
302,Ahuimanu,US,21.4447,-157.8378,78.85,62,20,1.99,few clouds
303,Oranjestad,AW,12.524,-70.027,78.87,78,0,18.25,clear sky
304,Jacareacanga,BR,-6.2222,-57.7528,77.11,95,100,0.69,overcast clouds
305,Karoi,ZW,-16.8099,29.6925,63.48,94,95,4.52,overcast clouds
306,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.14,80,54,2.55,moderate rain
307,Alofi,NU,-19.0595,-169.9187,80.49,78,100,6.91,overcast clouds
308,Bay City,US,43.5945,-83.8889,20.1,65,0,1.99,clear sky
309,Poum,NC,-20.2333,164.0167,81.41,83,100,18.9,overcast clouds
310,Kaeo,NZ,-35.1,173.7833,74.32,92,83,10.56,broken clouds
311,Beaverlodge,CA,55.2166,-119.4361,7.95,83,100,8.95,overcast clouds
312,Carauari,BR,-4.8828,-66.8958,78.6,82,99,1.19,overcast clouds
313,Hualmay,PE,-11.0964,-77.6139,74.7,73,24,11.56,few clouds
314,Mandurah,AU,-32.55,115.7,64.65,43,0,5.06,clear sky
315,Marystown,CA,47.1666,-55.1483,36.86,100,100,5.01,overcast clouds
316,Brindisi,IT,40.5833,17.6667,51.8,89,19,8.23,few clouds
317,Kajaani,FI,64.2273,27.7285,19.45,86,100,23.02,light snow
318,Lixourion,GR,38.2019,20.4314,49.6,69,2,5.55,clear sky
319,Lompoc,US,34.6391,-120.4579,70.7,42,0,8.05,clear sky
320,Wajir,KE,1.7471,40.0573,87.03,21,61,9.93,broken clouds
321,Tororo,UG,0.693,34.1809,71.44,59,100,3.42,overcast clouds
322,Mantua,IT,45.1667,10.7833,49.69,89,99,1.01,overcast clouds
323,Coquimbo,CL,-29.9533,-71.3436,71.33,64,0,13.8,clear sky
324,General Zuazua,MX,25.9,-100.1167,47.8,38,100,8.05,overcast clouds
325,Banda Aceh,ID,5.5577,95.3222,78.22,79,90,6.96,overcast clouds
326,Camacha,PT,33.0833,-16.3333,61.56,88,20,0.0,few clouds
327,Grindavik,IS,63.8424,-22.4338,27.07,80,100,11.5,overcast clouds
328,Sisimiut,GL,66.9395,-53.6735,7.03,83,100,28.7,light snow
329,Pacific Grove,US,36.6177,-121.9166,68.54,48,0,3.0,clear sky
330,Regeneracao,BR,-6.2378,-42.6883,83.23,66,78,3.47,broken clouds
331,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,85,37,19.44,scattered clouds
332,Sergeyevka,KZ,53.88,67.4158,20.28,80,100,8.66,overcast clouds
333,Hofn,IS,64.2539,-15.2082,28.42,54,0,9.22,clear sky
334,Pokhara,NP,28.2333,83.9833,44.06,96,100,1.7,light rain
335,Malanje,AO,-9.5402,16.341,63.41,96,100,2.35,overcast clouds
336,Ixtapa,MX,20.7,-105.2,76.23,61,20,11.5,few clouds
337,Vaitape,PF,-16.5167,-151.75,80.2,76,28,12.97,light rain
338,Minab,IR,27.1467,57.0801,61.12,72,0,0.0,clear sky
339,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,82.65,74,78,4.97,broken clouds
340,Khasan,RU,42.4308,130.6434,11.62,58,3,22.1,clear sky
341,Yinchuan,CN,38.4681,106.2731,18.82,32,97,7.76,overcast clouds
342,Srednekolymsk,RU,67.45,153.6833,-35.41,100,100,1.39,overcast clouds
343,Talara,PE,-4.5772,-81.2719,84.96,54,0,20.71,clear sky
344,Ann Arbor,US,42.2776,-83.7409,22.08,70,20,3.0,few clouds
345,Howard Springs,AU,-12.497,131.047,75.97,99,100,3.85,overcast clouds
346,High Level,CA,58.5169,-117.136,-2.09,84,100,10.36,snow
347,San Lawrenz,MT,36.0553,14.204,57.85,83,37,5.01,scattered clouds
