City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
119,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
120,Padang,ID,75.38,overcast clouds,-0.9492,100.3543,Mercure Padang
124,Namatanai,PG,80.78,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
127,Hithadhoo,MV,81.64,broken clouds,-0.6,73.0833,Scoop Guest House
128,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
132,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
134,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
140,Mount Pleasant,US,74.07,broken clouds,32.7941,-79.8626,Best Western Patriots Point
142,Virginia Beach,US,78.85,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
143,Bubaque,GW,78.28,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
144,Belmonte,BR,82.9,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
148,Taltal,CL,71.06,few clouds,-25.4,-70.4833,Residencial Karime
151,Morondava,MG,82.24,scattered clouds,-20.2833,44.2833,La Case Bambou
156,Ahipara,NZ,73.9,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
157,Kisangani,CD,74.16,overcast clouds,0.5167,25.2,Grand Ramela Hotel
158,Bertoua,CM,72.68,scattered clouds,4.5833,13.6833,Hotel De Paris
172,Kailua,US,79.14,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
180,Meulaboh,ID,75.83,overcast clouds,4.1363,96.1285,Kost Pria
183,Mareeba,AU,72.45,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
185,Buta,CD,76.05,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
188,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
190,Brejo,BR,76.53,light rain,-3.6844,-42.7503,Hotel Santa Luzia
191,Souillac,MU,79.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
193,Puerto Baquerizo Moreno,EC,83.39,few clouds,-0.9,-89.6,Hotel los Algarrobos
198,Cozumel,MX,84.94,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
205,Mar Del Plata,AR,74.08,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
207,Kieta,PG,82.44,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
210,Bangad,PH,70.72,broken clouds,15.5036,121.0275,Golden Rosas Retreat House and Catering Services
212,Bida,NG,81.34,clear sky,9.0833,6.0167,Royal Suite
221,Rio Grande,BR,80.71,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
222,Nhulunbuy,AU,81.21,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
226,Buchanan,LR,80.56,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
237,Candelaria,PH,73.6,overcast clouds,13.9311,121.4233,Casa de Provincia
238,Chicama,PE,70.34,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
241,Matara,LK,73.76,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
242,Luanda,AO,77.47,overcast clouds,-8.8368,13.2343,Hotel Fórum
244,Saint-Georges,GD,82.08,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
246,Harper,LR,80.01,scattered clouds,4.375,-7.7169,Screensaver
247,Port-Gentil,GA,80.08,broken clouds,-0.7193,8.7815,Fengshui Residence
248,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
253,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
257,Bengkulu,ID,73.11,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
258,San Policarpo,PH,77.11,overcast clouds,12.1791,125.5072,Agapita M. Nicart
260,Songkhla,TH,75.25,overcast clouds,6.8333,100.6667,ร้านโรตี เมือง. โรตีสาวน้อยใกล้ปั้มปตท
262,Maldonado,UY,76.39,scattered clouds,-34.6667,-54.9167,La Cimarrona
264,Sao Filipe,CV,73.6,clear sky,14.8961,-24.4956,Hotel Xaguate
