City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Munster,DE,2022-02-02 16:22:34,51.9624,7.6257,48.04,67,0,5.75
122,Ormara,PK,2022-02-02 16:25:27,25.2088,64.6357,73.54,34,0,24.56
123,Samarai,PG,2022-02-02 16:25:28,-10.6167,150.6667,79.77,83,100,10.25
124,Tsovazard,AM,2022-02-02 16:25:28,40.4709,45.0588,24.85,82,75,7.96
125,Rawson,AR,2022-02-02 16:25:29,-43.3002,-65.1023,76.93,29,99,15.01
126,Pizarro,CO,2022-02-02 16:25:29,4.9533,-77.366,81.72,72,23,1.05
127,Te Anau,NZ,2022-02-02 16:25:30,-45.4167,167.7167,60.98,97,100,2.73
128,Ixtapa,MX,2022-02-02 16:22:45,20.7,-105.2,76.46,30,0,2.68
129,Liuhe,CN,2022-02-02 16:25:30,42.2401,125.7172,0.07,90,10,5.01
130,Knysna,ZA,2022-02-02 16:25:31,-34.0363,23.0471,70.18,97,100,6.55
131,Batagay,RU,2022-02-02 16:25:31,67.6333,134.6333,-29.96,99,95,3.74
132,Lorengau,PG,2022-02-02 16:25:32,-2.0226,147.2712,78.08,83,100,5.37
133,Arraial Do Cabo,BR,2022-02-02 16:25:33,-22.9661,-42.0278,84.16,74,40,12.66
134,Manaure,CO,2022-02-02 16:25:33,11.7751,-72.4445,86.11,52,19,21.39
135,Nicosia,CY,2022-02-02 16:25:34,35.1667,33.3667,60.33,82,75,6.91
136,Bonavista,CA,2022-02-02 16:25:35,48.6499,-53.1147,28.11,75,69,5.7
137,Cayenne,GF,2022-02-02 16:26:35,4.9333,-52.3333,83.08,80,100,5.01
138,Roma,US,2022-02-02 16:26:35,43.2128,-75.4557,41.72,67,0,11.5
139,Mayskiy,RU,2022-02-02 16:26:36,47.6931,40.1025,40.41,100,100,6.82
140,Los Negros,BO,2022-02-02 16:26:36,-17.7333,-63.4333,91.53,47,38,8.84
141,Nikolayevka,RU,2022-02-02 16:26:37,53.1257,47.2041,33.19,98,100,12.86
142,Asyut,EG,2022-02-02 16:26:37,27.181,31.1837,63.81,26,75,6.31
143,Marawi,PH,2022-02-02 16:26:38,7.9986,124.2928,67.64,93,100,0.81
144,Longyearbyen,SJ,2022-02-02 16:23:52,78.2186,15.6401,19.24,68,20,14.97
145,Muros,ES,2022-02-02 16:26:38,42.7762,-9.0603,68.5,55,9,6.26
146,Tessalit,ML,2022-02-02 16:26:39,20.1986,1.0114,76.01,8,0,16.33
147,Smithers,CA,2022-02-02 16:26:39,54.7804,-127.1743,8.92,85,100,10.36
148,Busselton,AU,2022-02-02 16:26:40,-33.65,115.3333,70.05,49,99,20.94
149,Giyon,ET,2022-02-02 16:26:40,8.5333,37.9833,69.24,36,95,13.65
150,Port Augusta,AU,2022-02-02 16:26:41,-32.5,137.7667,64.54,52,0,17.92
151,Sunbury,AU,2022-02-02 16:26:41,-37.5833,144.7333,59.61,84,75,3.0
152,Namibe,AO,2022-02-02 16:26:42,-15.1961,12.1522,76.78,61,96,14.61
153,Bollnas,SE,2022-02-02 16:26:42,61.3482,16.3946,18.39,98,98,0.96
154,Valdepenas,ES,2022-02-02 16:26:43,38.7621,-3.3848,66.85,34,0,1.12
155,Katsuura,JP,2022-02-02 16:26:44,35.1333,140.3,42.91,56,69,5.32
156,Port Macquarie,AU,2022-02-02 16:26:44,-31.4333,152.9167,71.49,94,75,6.91
157,Puerto Del Rosario,ES,2022-02-02 16:26:14,28.5004,-13.8627,74.95,46,0,8.05
158,Magadi,IN,2022-02-02 16:26:45,12.9667,77.2333,73.56,44,7,4.79
159,San Antonio,US,2022-02-02 16:24:00,29.4241,-98.4936,62.11,94,100,5.75
160,Remanso,BR,2022-02-02 16:26:45,-9.6179,-42.0831,86.32,47,42,7.34
161,Avarua,CK,2022-02-02 16:26:46,-21.2078,-159.775,77.05,94,40,11.5
162,Umm Kaddadah,SD,2022-02-02 16:26:46,13.6017,26.6876,77.79,16,11,2.17
163,Rocha,UY,2022-02-02 16:26:47,-34.4833,-54.3333,86.11,33,1,7.43
164,Narsaq,GL,2022-02-02 16:26:47,60.9167,-46.05,5.22,65,0,5.73
165,Mwingi,KE,2022-02-02 16:26:48,-0.9344,38.0601,77.04,49,100,8.32
166,Lensk,RU,2022-02-02 16:26:48,60.7253,114.9278,-12.98,100,98,4.05
167,Kiunga,PG,2022-02-02 16:26:49,-6.1219,141.2906,71.96,92,100,0.11
168,East London,ZA,2022-02-02 16:26:49,-33.0153,27.9116,85.14,74,0,5.75
169,Port Lincoln,AU,2022-02-02 16:26:49,-34.7333,135.8667,63.21,66,84,11.05
170,Minab,IR,2022-02-02 16:26:50,27.1467,57.0801,73.72,23,0,16.11
171,Sri Aman,MY,2022-02-02 16:26:50,1.2376,111.4621,75.25,94,32,0.0
172,Enkoping,SE,2022-02-02 16:26:51,59.6361,17.0777,23.02,75,28,1.9
173,Hithadhoo,MV,2022-02-02 16:26:51,-0.6,73.0833,82.6,70,44,8.55
174,Wadena,US,2022-02-02 16:26:51,46.4425,-95.1361,-5.91,64,0,6.91
175,Pathein,MM,2022-02-02 16:26:52,16.7833,94.7333,64.94,77,1,7.47
176,Cabo San Lucas,MX,2022-02-02 16:26:52,22.8909,-109.9124,74.52,39,8,9.19
177,Mahebourg,MU,2022-02-02 16:26:53,-20.4081,57.7,80.89,89,75,34.52
178,Hailun,CN,2022-02-02 16:26:53,47.45,126.9333,-18.06,100,50,3.94
179,Northam,GB,2022-02-02 16:26:53,51.0333,-4.2167,52.34,90,79,9.19
180,Manthani,IN,2022-02-02 16:22:14,18.65,79.6667,74.21,31,14,3.89
181,Port Elizabeth,ZA,2022-02-02 16:26:54,-33.918,25.5701,71.89,94,40,23.02
182,Cardston,CA,2022-02-02 16:27:54,49.2,-113.3019,-12.71,69,36,2.3
183,Varhaug,NO,2022-02-02 16:27:55,58.6147,5.6457,38.89,81,98,11.83
184,Tupelo,US,2022-02-02 16:27:55,34.2576,-88.7034,53.89,87,100,8.99
185,Clayton,US,2022-02-02 16:27:56,33.5335,-84.3666,51.89,66,100,1.01
186,Farah,AF,2022-02-02 16:27:56,32.5,62.5,44.06,40,0,17.72
187,Laem Sing,TH,2022-02-02 16:27:57,12.4816,102.0738,78.53,78,5,2.35
188,Buraydah,SA,2022-02-02 16:27:47,26.326,43.975,59.45,27,0,8.21
189,Benjamin Hill,MX,2022-02-02 16:27:57,30.1667,-111.1,57.16,49,84,7.02
190,Bjornevatn,NO,2022-02-02 16:27:58,69.6672,29.9847,-1.86,84,100,5.75
